feature	isolate	nearest_gene	nearest_te	scaffold
atg1940	MNH120	874	946	scaffold_83
atg1941	MNH120	1838	451	scaffold_83
atg1942	MNH120	950	1199	scaffold_83
atg1943	MNH120	950	156	scaffold_83
atg1944	MNH120	1457	46	scaffold_83
atg1945	MNH120	1457	46	scaffold_83
atg1946	MNH120	1862	257	scaffold_83
atg2661	MNH120	779	3	scaffold_407
atg2662	MNH120	779	14	scaffold_407
atg2663	MNH120	820	35	scaffold_407
atg2664	MNH120	820	35	scaffold_407
atg2665	MNH120	459	206	scaffold_407
atg2666	MNH120	459	15	scaffold_407
atg2667	MNH120	1719	38	scaffold_407
atg2668	MNH120	152	70	scaffold_407
atg2669	MNH120	152	8	scaffold_407
atg2670	MNH120	301	147	scaffold_407
atg2671	MNH120	1076	12	scaffold_407
atg2672	MNH120	1195	17	scaffold_407
atg2673	MNH120	1195	45	scaffold_407
atg2674	MNH120	1340	3	scaffold_407
atg2675	MNH120	546	34	scaffold_407
atg2676	MNH120	546	98	scaffold_407
atg2677	MNH120	2445	61	scaffold_407
atg2678	MNH120	711	48	scaffold_407
atg2679	MNH120	464	88	scaffold_407
atg2680	MNH120	464	10	scaffold_407
atg2681	MNH120	1016	6	scaffold_407
atg2682	MNH120	748	52	scaffold_407
atg2683	MNH120	748	72	scaffold_407
atg2684	MNH120	1968	34	scaffold_407
atg2685	MNH120	523	35	scaffold_407
atg2686	MNH120	523	21	scaffold_407
atg2687	MNH120	556	29	scaffold_407
atg2688	MNH120	53	20	scaffold_407
atg2689	MNH120	53	20	scaffold_407
atg2690	MNH120	1072	88	scaffold_407
atg2691	MNH120	2435	24	scaffold_407
atg2692	MNH120	777	23	scaffold_407
atg2693	MNH120	777	173	scaffold_407
atg2088	MNH120	23	114	scaffold_241
atg2089	MNH120	23	87	scaffold_241
atg2090	MNH120	303	111	scaffold_241
atg2091	MNH120	303	31	scaffold_241
atg2092	MNH120	1119	133	scaffold_241
atg2093	MNH120	469	1	scaffold_241
atg2094	MNH120	469	9	scaffold_241
atg2095	MNH120	426	153	scaffold_241
atg2096	MNH120	426	34	scaffold_241
atg2097	MNH120	169	67	scaffold_241
atg2098	MNH120	169	123	scaffold_241
atg2099	MNH120	957	46	scaffold_241
atg2100	MNH120	957	114	scaffold_241
atg2101	MNH120	1282	32	scaffold_241
atg2102	MNH120	1097	78	scaffold_241
atg2103	MNH120	393	6	scaffold_241
atg2104	MNH120	393	22	scaffold_241
atg2105	MNH120	907	244	scaffold_241
atg2106	MNH120	619	93	scaffold_241
atg2107	MNH120	619	4	scaffold_241
atg2108	MNH120	192	14	scaffold_241
atg2109	MNH120	192	90	scaffold_241
atg2110	MNH120	155	54	scaffold_241
atg2111	MNH120	155	137	scaffold_241
atg2112	MNH120	3119	15	scaffold_241
atg2113	MNH120	1395	374	scaffold_241
atg2114	MNH120	1395	2	scaffold_241
atg2115	MNH120	374	21	scaffold_241
atg2116	MNH120	374	3	scaffold_241
atg2117	MNH120	664	512	scaffold_241
atg2118	MNH120	781	51	scaffold_241
atg2119	MNH120	623	28	scaffold_241
atg2120	MNH120	62	128	scaffold_241
atg2121	MNH120	62	190	scaffold_241
atg2122	MNH120	350	7	scaffold_241
atg2123	MNH120	267	39	scaffold_241
atg2124	MNH120	267	2	scaffold_241
atg2125	MNH120	425	52	scaffold_241
atg2126	MNH120	233	4	scaffold_241
atg2127	MNH120	233	74	scaffold_241
atg2128	MNH120	236	4	scaffold_241
atg2129	MNH120	696	31	scaffold_241
atg2130	MNH120	1228	8	scaffold_241
atg2131	MNH120	475	32	scaffold_241
atg2132	MNH120	475	172	scaffold_241
atg2133	MNH120	317	81	scaffold_241
atg2134	MNH120	211	1	scaffold_241
atg2135	MNH120	174	37	scaffold_241
atg2136	MNH120	174	4	scaffold_241
atg2137	MNH120	1033	4	scaffold_241
atg2138	MNH120	2333	5	scaffold_241
atg2139	MNH120	2328	23	scaffold_241
atg2140	MNH120	2328	2	scaffold_241
atg2141	MNH120	190	128	scaffold_241
atg2142	MNH120	190	33	scaffold_241
atg2143	MNH120	356	16	scaffold_241
atg2144	MNH120	395	10	scaffold_241
atg2145	MNH120	745	53	scaffold_241
atg2146	MNH120	745	6	scaffold_241
atg2147	MNH120	24748	3	scaffold_241
atg2148	MNH120	2818	411	scaffold_241
atg2149	MNH120	521	2206	scaffold_241
atg2150	MNH120	521	1142	scaffold_241
atg2151	MNH120	947	21	scaffold_241
atg2152	MNH120	125	489	scaffold_241
atg2153	MNH120	125	2314	scaffold_241
atg2154	MNH120	1004	391	scaffold_241
atg2155	MNH120	599	532	scaffold_241
atg2156	MNH120	599	3384	scaffold_241
atg2157	MNH120	418	6435	scaffold_241
atg2158	MNH120	418	7478	scaffold_241
atg2159	MNH120	676	5095	scaffold_241
atg2160	MNH120	676	3481	scaffold_241
atg2161	MNH120	1034	735	scaffold_241
atg2162	MNH120	30	175	scaffold_241
atg2163	MNH120	30	532	scaffold_241
atg2164	MNH120	632	2966	scaffold_241
atg2165	MNH120	203	4726	scaffold_241
atg2166	MNH120	203	6055	scaffold_241
atg2167	MNH120	1245	8215	scaffold_241
atg2168	MNH120	832	10981	scaffold_241
atg2169	MNH120	185	13881	scaffold_241
atg2170	MNH120	185	13042	scaffold_241
atg2171	MNH120	353	11294	scaffold_241
atg2172	MNH120	353	4948	scaffold_241
atg2173	MNH120	1280	587	scaffold_241
atg2174	MNH120	1280	609	scaffold_241
atg2175	MNH120	416	4276	scaffold_241
atg2176	MNH120	296	6420	scaffold_241
atg2177	MNH120	296	8121	scaffold_241
atg2178	MNH120	452	10027	scaffold_241
atg2179	MNH120	452	11067	scaffold_241
atg2180	MNH120	189	9390	scaffold_241
atg2181	MNH120	189	8422	scaffold_241
atg2182	MNH120	1339	5574	scaffold_241
atg2183	MNH120	946	2720	scaffold_241
atg2184	MNH120	946	580	scaffold_241
atg2185	MNH120	233	98	scaffold_241
atg2186	MNH120	95	1531	scaffold_241
atg2187	MNH120	95	2035	scaffold_241
atg2188	MNH120	328	3750	scaffold_241
atg2189	MNH120	328	2370	scaffold_241
atg2190	MNH120	674	272	scaffold_241
atg2191	MNH120	2824	1568	scaffold_241
atg2192	MNH120	502	1256	scaffold_241
atg2193	MNH120	502	2964	scaffold_241
atg2194	MNH120	1111	669	scaffold_241
atg2195	MNH120	1111	317	scaffold_241
atg2196	MNH120	746	2753	scaffold_241
atg2197	MNH120	170	1918	scaffold_241
atg2198	MNH120	170	1187	scaffold_241
atg2199	MNH120	3722	12	scaffold_241
atg934	MNH120	7696	6	scaffold_150
atg935	MNH120	709	7	scaffold_150
atg936	MNH120	709	133	scaffold_150
atg937	MNH120	214	16	scaffold_150
atg938	MNH120	214	10	scaffold_150
atg939	MNH120	1198	27	scaffold_150
atg818	MNH120	241	56	scaffold_155
atg819	MNH120	241	297	scaffold_155
atg820	MNH120	146	3201	scaffold_155
atg821	MNH120	146	4265	scaffold_155
atg822	MNH120	1058	6358	scaffold_155
atg823	MNH120	786	9915	scaffold_155
atg824	MNH120	167	11655	scaffold_155
atg825	MNH120	167	16330	scaffold_155
atg826	MNH120	68	18437	scaffold_155
atg827	MNH120	68	19117	scaffold_155
atg7389	MNH120	31181	1000	scaffold_858
atg7390	MNH120	281	317	scaffold_858
atg7391	MNH120	281	170	scaffold_858
atg7392	MNH120	764	33	scaffold_858
atg7393	MNH120	884	851	scaffold_858
atg7394	MNH120	70	505	scaffold_858
atg7395	MNH120	70	575	scaffold_858
atg7396	MNH120	1768	61	scaffold_858
atg7397	MNH120	1361	958	scaffold_858
atg7398	MNH120	1361	3418	scaffold_858
atg7399	MNH120	999	8711	scaffold_858
atg7400	MNH120	590	9715	scaffold_858
atg7401	MNH120	590	8079	scaffold_858
atg7402	MNH120	485	5540	scaffold_858
atg7403	MNH120	409	3167	scaffold_858
atg7404	MNH120	409	915	scaffold_858
atg7405	MNH120	1205	151	scaffold_858
atg7406	MNH120	498	3138	scaffold_858
atg7407	MNH120	498	4613	scaffold_858
atg7408	MNH120	643	6905	scaffold_858
atg7409	MNH120	176	10530	scaffold_858
atg7410	MNH120	176	11237	scaffold_858
atg7411	MNH120	130	15295	scaffold_858
atg7412	MNH120	130	14652	scaffold_858
atg7413	MNH120	182	10888	scaffold_858
atg7414	MNH120	263	6697	scaffold_858
atg7415	MNH120	263	6171	scaffold_858
atg7416	MNH120	2576	797	scaffold_858
atg1	MNH120	883	73	scaffold_10
atg2	MNH120	883	147	scaffold_10
atg8042	MNH120	843	1798	scaffold_929
atg8043	MNH120	478	3574	scaffold_929
atg8044	MNH120	247	3471	scaffold_929
atg8045	MNH120	171	2114	scaffold_929
atg8046	MNH120	171	1568	scaffold_929
atg8047	MNH120	560	318	scaffold_929
atg8048	MNH120	321	353	scaffold_929
atg8049	MNH120	321	2482	scaffold_929
atg8050	MNH120	918	3736	scaffold_929
atg8051	MNH120	1138	6692	scaffold_929
atg8052	MNH120	595	4509	scaffold_929
atg8053	MNH120	404	2237	scaffold_929
atg8054	MNH120	404	1833	scaffold_929
atg8055	MNH120	977	1072	scaffold_929
atg8056	MNH120	809	506	scaffold_929
atg8057	MNH120	809	292	scaffold_929
atg8058	MNH120	1505	1546	scaffold_929
atg8059	MNH120	685	363	scaffold_929
atg8060	MNH120	685	259	scaffold_929
atg8061	MNH120	355	141	scaffold_929
atg8062	MNH120	355	1833	scaffold_929
atg8063	MNH120	18	9997	scaffold_929
atg8064	MNH120	18	10486	scaffold_929
atg8065	MNH120	391	9998	scaffold_929
atg8066	MNH120	391	8600	scaffold_929
atg8067	MNH120	653	6687	scaffold_929
atg8068	MNH120	336	4816	scaffold_929
atg8069	MNH120	336	4063	scaffold_929
atg8070	MNH120	1779	799	scaffold_929
atg8071	MNH120	2104	323	scaffold_929
atg11804	MNH120	1005	485	scaffold_991
atg11805	MNH120	469	1989	scaffold_991
atg11806	MNH120	128	1478	scaffold_991
atg11807	MNH120	128	168	scaffold_991
atg11808	MNH120	2150	1125	scaffold_991
atg11809	MNH120	149	181	scaffold_991
atg11810	MNH120	149	32	scaffold_991
atg11811	MNH120	694	1761	scaffold_991
atg11812	MNH120	377	3952	scaffold_991
atg11813	MNH120	377	1479	scaffold_991
atg11814	MNH120	22908	867	scaffold_991
atg11815	MNH120	204	441	scaffold_991
atg11816	MNH120	204	1465	scaffold_991
atg11817	MNH120	672	745	scaffold_991
atg11818	MNH120	306	2058	scaffold_991
atg11819	MNH120	306	277	scaffold_991
atg11820	MNH120	337	303	scaffold_991
atg11821	MNH120	337	1330	scaffold_991
atg11822	MNH120	1544	3764	scaffold_991
atg11823	MNH120	1612	2758	scaffold_991
atg11824	MNH120	152	151	scaffold_991
atg11825	MNH120	152	303	scaffold_991
atg11826	MNH120	337	598	scaffold_991
atg11827	MNH120	494	1610	scaffold_991
atg11828	MNH120	52	2329	scaffold_991
atg11829	MNH120	52	2995	scaffold_991
atg11830	MNH120	145	3155	scaffold_991
atg11831	MNH120	145	1882	scaffold_991
atg11832	MNH120	666	55	scaffold_991
atg11833	MNH120	666	428	scaffold_991
atg11834	MNH120	1053	3693	scaffold_991
atg11835	MNH120	1053	5076	scaffold_991
atg11836	MNH120	194	5767	scaffold_991
atg11837	MNH120	194	4221	scaffold_991
atg11838	MNH120	29	2724	scaffold_991
atg11839	MNH120	29	1190	scaffold_991
atg11840	MNH120	648	539	scaffold_991
atg11841	MNH120	648	4	scaffold_991
atg11842	MNH120	595	17	scaffold_991
atg11843	MNH120	509	32	scaffold_991
atg11844	MNH120	509	2	scaffold_991
atg11845	MNH120	732	4	scaffold_991
atg11846	MNH120	739	1	scaffold_991
atg11847	MNH120	943	34	scaffold_991
atg11848	MNH120	64	19	scaffold_991
atg11849	MNH120	41	8	scaffold_991
atg11850	MNH120	41	25	scaffold_991
atg11851	MNH120	1365	93	scaffold_991
atg11852	MNH120	171	13	scaffold_991
atg11853	MNH120	111	23	scaffold_991
atg11854	MNH120	111	21	scaffold_991
atg11855	MNH120	471	94	scaffold_991
atg11856	MNH120	481	84	scaffold_991
atg11857	MNH120	1210	45	scaffold_991
atg11858	MNH120	9705	20	scaffold_991
atg7426	MNH120	1635	449	scaffold_887
atg7427	MNH120	1537	61	scaffold_887
atg7428	MNH120	726	224	scaffold_887
atg7429	MNH120	388	2321	scaffold_887
atg7430	MNH120	291	3867	scaffold_887
atg7431	MNH120	270	906	scaffold_887
atg7432	MNH120	270	360	scaffold_887
atg7433	MNH120	1555	195	scaffold_887
atg7434	MNH120	361	764	scaffold_887
atg7435	MNH120	361	190	scaffold_887
atg7436	MNH120	51	1026	scaffold_887
atg7437	MNH120	51	3136	scaffold_887
atg7438	MNH120	142	3559	scaffold_887
atg7439	MNH120	142	7305	scaffold_887
atg7440	MNH120	973	457	scaffold_887
atg7441	MNH120	886	305	scaffold_887
atg7442	MNH120	582	2502	scaffold_887
atg7443	MNH120	582	3888	scaffold_887
atg7444	MNH120	209	6090	scaffold_887
atg7445	MNH120	209	8830	scaffold_887
atg7446	MNH120	354	9589	scaffold_887
atg7447	MNH120	386	9513	scaffold_887
atg7448	MNH120	386	8195	scaffold_887
atg7449	MNH120	1465	4497	scaffold_887
atg7450	MNH120	2418	426	scaffold_887
atg4603	MNH120	1165	579	scaffold_636
atg4604	MNH120	861	2481	scaffold_636
atg4605	MNH120	861	804	scaffold_636
atg4606	MNH120	1657	22	scaffold_636
atg4607	MNH120	1657	136	scaffold_636
atg4608	MNH120	1145	237	scaffold_636
atg4609	MNH120	565	473	scaffold_636
atg4610	MNH120	565	2173	scaffold_636
atg4611	MNH120	635	4115	scaffold_636
atg4612	MNH120	635	5721	scaffold_636
atg4613	MNH120	833	5649	scaffold_636
atg4614	MNH120	831	3445	scaffold_636
atg4615	MNH120	831	1569	scaffold_636
atg4616	MNH120	1078	2033	scaffold_636
atg4617	MNH120	1017	3838	scaffold_636
atg4618	MNH120	301	5855	scaffold_636
atg4619	MNH120	286	6456	scaffold_636
atg4620	MNH120	286	7131	scaffold_636
atg4621	MNH120	892	5102	scaffold_636
atg4622	MNH120	892	1287	scaffold_636
atg4623	MNH120	1813	405	scaffold_636
atg4624	MNH120	532	62	scaffold_636
atg4625	MNH120	415	237	scaffold_636
atg4626	MNH120	415	2490	scaffold_636
atg4627	MNH120	1132	4856	scaffold_636
atg4628	MNH120	440	6748	scaffold_636
atg4629	MNH120	440	7485	scaffold_636
atg4630	MNH120	780	5829	scaffold_636
atg4631	MNH120	1272	2828	scaffold_636
atg4632	MNH120	1443	177	scaffold_636
atg8733	MNH120	295	1802	scaffold_900
atg8734	MNH120	295	3641	scaffold_900
atg8735	MNH120	614	4684	scaffold_900
atg8736	MNH120	614	6132	scaffold_900
atg8737	MNH120	876	7759	scaffold_900
atg8738	MNH120	876	11531	scaffold_900
atg8739	MNH120	1229	12088	scaffold_900
atg8740	MNH120	2822	946	scaffold_900
atg8741	MNH120	530	1591	scaffold_900
atg8742	MNH120	530	539	scaffold_900
atg8743	MNH120	1312	741	scaffold_900
atg8744	MNH120	818	2389	scaffold_900
atg8745	MNH120	276	4119	scaffold_900
atg8746	MNH120	90	8214	scaffold_900
atg8747	MNH120	90	9105	scaffold_900
atg8748	MNH120	409	10229	scaffold_900
atg8749	MNH120	1065	12000	scaffold_900
atg8750	MNH120	168	14937	scaffold_900
atg8751	MNH120	162	15514	scaffold_900
atg8752	MNH120	162	10800	scaffold_900
atg8753	MNH120	1316	8436	scaffold_900
atg8754	MNH120	584	5471	scaffold_900
atg8755	MNH120	584	3516	scaffold_900
atg8756	MNH120	1096	415	scaffold_900
atg8757	MNH120	719	380	scaffold_900
atg8758	MNH120	719	1720	scaffold_900
atg8759	MNH120	2874	7	scaffold_900
atg8760	MNH120	2874	307	scaffold_900
atg8761	MNH120	635	6	scaffold_900
atg8762	MNH120	230	2218	scaffold_900
atg8763	MNH120	230	127	scaffold_900
atg8764	MNH120	334	1694	scaffold_900
atg8765	MNH120	33	4112	scaffold_900
atg8766	MNH120	33	5209	scaffold_900
atg8767	MNH120	1240	6680	scaffold_900
atg8768	MNH120	146	6572	scaffold_900
atg8769	MNH120	146	3243	scaffold_900
atg8770	MNH120	1017	260	scaffold_900
atg8771	MNH120	1785	124	scaffold_900
atg8772	MNH120	215	760	scaffold_900
atg8773	MNH120	147	1388	scaffold_900
atg8774	MNH120	147	491	scaffold_900
atg8775	MNH120	459	489	scaffold_900
atg8776	MNH120	459	4635	scaffold_900
atg8777	MNH120	676	7033	scaffold_900
atg8778	MNH120	676	8108	scaffold_900
atg8779	MNH120	511	10033	scaffold_900
atg8780	MNH120	511	11752	scaffold_900
atg8781	MNH120	134	13799	scaffold_900
atg8782	MNH120	134	13992	scaffold_900
atg8783	MNH120	750	12324	scaffold_900
atg8784	MNH120	178	10986	scaffold_900
atg8785	MNH120	178	8957	scaffold_900
atg8786	MNH120	1284	3791	scaffold_900
atg8787	MNH120	498	1684	scaffold_900
atg8788	MNH120	89	1186	scaffold_900
atg8789	MNH120	89	2860	scaffold_900
atg8790	MNH120	1169	5472	scaffold_900
atg8791	MNH120	1169	12054	scaffold_900
atg8792	MNH120	98	14420	scaffold_900
atg8793	MNH120	98	15213	scaffold_900
atg8794	MNH120	698	17198	scaffold_900
atg8795	MNH120	475	15091	scaffold_900
atg8796	MNH120	475	12819	scaffold_900
atg8797	MNH120	918	10775	scaffold_900
atg8798	MNH120	918	7227	scaffold_900
atg8799	MNH120	919	5104	scaffold_900
atg8800	MNH120	1001	2266	scaffold_900
atg8801	MNH120	1089	3418	scaffold_900
atg8802	MNH120	601	1159	scaffold_900
atg8803	MNH120	601	535	scaffold_900
atg8804	MNH120	171	148	scaffold_900
atg8805	MNH120	171	885	scaffold_900
atg8806	MNH120	435	77	scaffold_900
atg8807	MNH120	435	204	scaffold_900
atg8808	MNH120	1473	40	scaffold_900
atg8809	MNH120	1473	244	scaffold_900
atg8810	MNH120	913	451	scaffold_900
atg8811	MNH120	830	1871	scaffold_900
atg8812	MNH120	490	3259	scaffold_900
atg8813	MNH120	490	1028	scaffold_900
atg8814	MNH120	880	456	scaffold_900
atg8815	MNH120	880	256	scaffold_900
atg8816	MNH120	1600	2165	scaffold_900
atg8817	MNH120	538	87	scaffold_900
atg8818	MNH120	538	162	scaffold_900
atg8819	MNH120	3711	204	scaffold_900
atg1441	MNH120	781	3315	scaffold_300
atg1442	MNH120	781	589	scaffold_300
atg20	MNH120	1589	5723	scaffold_14
atg21	MNH120	1028	3430	scaffold_14
atg22	MNH120	377	234	scaffold_14
atg23	MNH120	377	133	scaffold_14
atg991	MNH120	1229	9913	scaffold_4
atg992	MNH120	503	4739	scaffold_4
atg993	MNH120	503	1617	scaffold_4
atg994	MNH120	1024	219	scaffold_4
atg995	MNH120	986	126	scaffold_4
atg996	MNH120	598	1857	scaffold_4
atg997	MNH120	598	2821	scaffold_4
atg998	MNH120	400	4051	scaffold_4
atg999	MNH120	278	5500	scaffold_4
atg1000	MNH120	278	6407	scaffold_4
atg1001	MNH120	610	9029	scaffold_4
atg1002	MNH120	625	13394	scaffold_4
atg1003	MNH120	625	12896	scaffold_4
atg1004	MNH120	42	8188	scaffold_4
atg1005	MNH120	42	7608	scaffold_4
atg1006	MNH120	215	6902	scaffold_4
atg1007	MNH120	215	5391	scaffold_4
atg1008	MNH120	546	2539	scaffold_4
atg1009	MNH120	457	1293	scaffold_4
atg1010	MNH120	457	60	scaffold_4
atg1011	MNH120	278	421	scaffold_4
atg1012	MNH120	278	1328	scaffold_4
atg1013	MNH120	147	4363	scaffold_4
atg1014	MNH120	147	5058	scaffold_4
atg1015	MNH120	652	3245	scaffold_4
atg1016	MNH120	652	1446	scaffold_4
atg1017	MNH120	3793	95	scaffold_4
atg1018	MNH120	1757	481	scaffold_4
atg1019	MNH120	1757	2108	scaffold_4
atg1020	MNH120	2537	233	scaffold_4
atg1021	MNH120	364	5401	scaffold_4
atg1022	MNH120	243	4542	scaffold_4
atg1023	MNH120	243	2590	scaffold_4
atg1024	MNH120	311	677	scaffold_4
atg1025	MNH120	152	1151	scaffold_4
atg1026	MNH120	152	1635	scaffold_4
atg1027	MNH120	335	1814	scaffold_4
atg1028	MNH120	918	291	scaffold_4
atg1029	MNH120	899	1684	scaffold_4
atg1030	MNH120	181	4586	scaffold_4
atg1031	MNH120	181	6099	scaffold_4
atg1032	MNH120	967	8608	scaffold_4
atg1033	MNH120	785	2600	scaffold_4
atg1034	MNH120	14	139	scaffold_4
atg1035	MNH120	14	43	scaffold_4
atg1036	MNH120	675	2436	scaffold_4
atg1037	MNH120	675	4858	scaffold_4
atg1038	MNH120	1017	4971	scaffold_4
atg1039	MNH120	1017	2239	scaffold_4
atg1040	MNH120	2047	172	scaffold_4
atg1041	MNH120	1775	2512	scaffold_4
atg1042	MNH120	1336	634	scaffold_4
atg1043	MNH120	1336	406	scaffold_4
atg1044	MNH120	479	487	scaffold_4
atg1045	MNH120	479	8	scaffold_4
atg1046	MNH120	1123	1559	scaffold_4
atg1047	MNH120	1129	3208	scaffold_4
atg1048	MNH120	723	1899	scaffold_4
atg1049	MNH120	723	845	scaffold_4
atg1050	MNH120	1130	334	scaffold_4
atg1051	MNH120	1130	1864	scaffold_4
atg1052	MNH120	635	3744	scaffold_4
atg1053	MNH120	635	5450	scaffold_4
atg1054	MNH120	27	8317	scaffold_4
atg1055	MNH120	27	4589	scaffold_4
atg1056	MNH120	780	2648	scaffold_4
atg1057	MNH120	863	525	scaffold_4
atg6908	MNH120	397	640	scaffold_868
atg6909	MNH120	397	1330	scaffold_868
atg6910	MNH120	2554	517	scaffold_868
atg77	MNH120	888	1	scaffold_58
atg78	MNH120	888	1264	scaffold_58
atg6290	MNH120	1282	44	scaffold_834
atg6291	MNH120	1282	2324	scaffold_834
atg6292	MNH120	999	5260	scaffold_834
atg6293	MNH120	495	8180	scaffold_834
atg6294	MNH120	495	7578	scaffold_834
atg6295	MNH120	968	6379	scaffold_834
atg6296	MNH120	1192	4677	scaffold_834
atg6297	MNH120	1349	340	scaffold_834
atg6298	MNH120	691	1617	scaffold_834
atg6299	MNH120	691	3343	scaffold_834
atg6300	MNH120	1047	5578	scaffold_834
atg6301	MNH120	1047	7439	scaffold_834
atg6302	MNH120	507	15341	scaffold_834
atg6303	MNH120	507	16850	scaffold_834
atg6304	MNH120	970	19029	scaffold_834
atg6305	MNH120	1081	20821	scaffold_834
atg6306	MNH120	584	23624	scaffold_834
atg6307	MNH120	513	20763	scaffold_834
atg6308	MNH120	513	18545	scaffold_834
atg6309	MNH120	546	16355	scaffold_834
atg6310	MNH120	378	12514	scaffold_834
atg6311	MNH120	369	11395	scaffold_834
atg6312	MNH120	369	9870	scaffold_834
atg6313	MNH120	275	2953	scaffold_834
atg6314	MNH120	275	1507	scaffold_834
atg6315	MNH120	284	99	scaffold_834
atg6316	MNH120	484	1321	scaffold_834
atg6317	MNH120	484	2924	scaffold_834
atg6318	MNH120	89	3770	scaffold_834
atg6319	MNH120	89	4276	scaffold_834
atg6320	MNH120	493	1527	scaffold_834
atg6321	MNH120	493	734	scaffold_834
atg6322	MNH120	746	5917	scaffold_834
atg6323	MNH120	746	5815	scaffold_834
atg6324	MNH120	828	1400	scaffold_834
atg6325	MNH120	3385	35	scaffold_834
atg6326	MNH120	1424	599	scaffold_834
atg6327	MNH120	1397	201	scaffold_834
atg6328	MNH120	1279	2181	scaffold_834
atg6329	MNH120	1279	1968	scaffold_834
atg6330	MNH120	2213	122	scaffold_834
atg6331	MNH120	864	299	scaffold_834
atg6332	MNH120	864	2170	scaffold_834
atg6333	MNH120	971	1757	scaffold_834
atg6334	MNH120	971	175	scaffold_834
atg6335	MNH120	958	1346	scaffold_834
atg6336	MNH120	222	7050	scaffold_834
atg6337	MNH120	222	6821	scaffold_834
atg6338	MNH120	38	3662	scaffold_834
atg6339	MNH120	38	3346	scaffold_834
atg6340	MNH120	473	2110	scaffold_834
atg6341	MNH120	1161	350	scaffold_834
atg6342	MNH120	1994	1616	scaffold_834
atg5306	MNH120	1137	1655	scaffold_745
atg5307	MNH120	1137	4942	scaffold_745
atg5308	MNH120	436	7639	scaffold_745
atg5309	MNH120	299	9217	scaffold_745
atg5310	MNH120	299	9819	scaffold_745
atg5311	MNH120	401	12377	scaffold_745
atg5312	MNH120	497	11144	scaffold_745
atg5313	MNH120	497	10386	scaffold_745
atg5314	MNH120	754	8624	scaffold_745
atg5315	MNH120	298	6761	scaffold_745
atg5316	MNH120	298	5080	scaffold_745
atg5317	MNH120	351	3550	scaffold_745
atg5318	MNH120	1127	149	scaffold_745
atg3	MNH120	492	251	scaffold_12
atg4	MNH120	133	1980	scaffold_12
atg5	MNH120	133	2879	scaffold_12
atg6	MNH120	33	2182	scaffold_12
atg7	MNH120	33	399	scaffold_12
atg725	MNH120	127	6855	scaffold_114
atg726	MNH120	127	5638	scaffold_114
atg727	MNH120	363	2648	scaffold_114
atg728	MNH120	2102	1413	scaffold_114
atg729	MNH120	1636	5656	scaffold_114
atg730	MNH120	664	2207	scaffold_114
atg731	MNH120	664	559	scaffold_114
atg732	MNH120	798	578	scaffold_114
atg733	MNH120	461	4804	scaffold_114
atg734	MNH120	326	4779	scaffold_114
atg735	MNH120	326	3368	scaffold_114
atg736	MNH120	410	1896	scaffold_114
atg737	MNH120	1316	1115	scaffold_114
atg738	MNH120	1078	3019	scaffold_114
atg739	MNH120	1078	5499	scaffold_114
atg740	MNH120	355	8089	scaffold_114
atg741	MNH120	355	8750	scaffold_114
atg742	MNH120	371	10186	scaffold_114
atg743	MNH120	371	11734	scaffold_114
atg744	MNH120	821	14689	scaffold_114
atg745	MNH120	581	12371	scaffold_114
atg746	MNH120	581	10370	scaffold_114
atg747	MNH120	338	7550	scaffold_114
atg748	MNH120	338	5694	scaffold_114
atg749	MNH120	423	3511	scaffold_114
atg750	MNH120	617	2241	scaffold_114
atg751	MNH120	726	519	scaffold_114
atg752	MNH120	878	295	scaffold_114
atg753	MNH120	742	2233	scaffold_114
atg754	MNH120	570	1350	scaffold_114
atg755	MNH120	570	331	scaffold_114
atg10685	MNH120	4153	1	scaffold_1001
atg10686	MNH120	4153	232	scaffold_1001
atg11859	MNH120	652	1498	scaffold_1008
atg11860	MNH120	508	2770	scaffold_1008
atg11861	MNH120	508	1635	scaffold_1008
atg11862	MNH120	924	360	scaffold_1008
atg11863	MNH120	193	1774	scaffold_1008
atg11864	MNH120	193	2584	scaffold_1008
atg11865	MNH120	548	3936	scaffold_1008
atg11866	MNH120	339	6399	scaffold_1008
atg11867	MNH120	339	7558	scaffold_1008
atg11868	MNH120	1405	10519	scaffold_1008
atg11869	MNH120	249	7829	scaffold_1008
atg11870	MNH120	249	6829	scaffold_1008
atg11871	MNH120	507	3288	scaffold_1008
atg11872	MNH120	1317	1053	scaffold_1008
atg11873	MNH120	1434	349	scaffold_1008
atg11874	MNH120	1434	2172	scaffold_1008
atg11875	MNH120	1945	480	scaffold_1008
atg11876	MNH120	1945	174	scaffold_1008
atg11877	MNH120	2686	456	scaffold_1008
atg11878	MNH120	183	1125	scaffold_1008
atg11879	MNH120	183	1530	scaffold_1008
atg11880	MNH120	489	2635	scaffold_1008
atg11881	MNH120	2022	992	scaffold_1008
atg11882	MNH120	1243	524	scaffold_1008
atg11883	MNH120	127	507	scaffold_1008
atg11884	MNH120	127	2299	scaffold_1008
atg11885	MNH120	576	2758	scaffold_1008
atg11886	MNH120	576	1047	scaffold_1008
atg11887	MNH120	745	388	scaffold_1008
atg11888	MNH120	745	2231	scaffold_1008
atg11889	MNH120	201	180	scaffold_1008
atg11890	MNH120	201	1186	scaffold_1008
atg11891	MNH120	271	278	scaffold_1008
atg11892	MNH120	271	263	scaffold_1008
atg11893	MNH120	201	980	scaffold_1008
