isolate	length	scaffold
I65V	48152	NODE_11597_length_48271_cov_9.152907
I65V	65655	NODE_30968_length_65767_cov_8.803534
I65V	201456	NODE_13803_length_202398_cov_8.625214
I65V	127954	NODE_21538_length_128502_cov_8.946467
I65V	21932	NODE_14533_length_21946_cov_8.912057
I65V	121361	NODE_28547_length_121339_cov_8.937934
I65V	173459	NODE_71742_length_173690_cov_9.283246
I65V	130969	NODE_11319_length_131487_cov_8.789150
I65V	30398	NODE_15989_length_30299_cov_8.987887
I65V	121276	NODE_45127_length_121433_cov_8.708621
I65V	65431	NODE_38137_length_65597_cov_9.187478
I65V	137147	NODE_69349_length_137424_cov_8.638288
I65V	123003	NODE_45797_length_123463_cov_8.622948
I65V	48488	NODE_8484_length_48576_cov_8.872797
I65V	39138	NODE_74492_length_38995_cov_8.490499
I65V	35659	NODE_30048_length_35806_cov_9.172820
I65V	241709	NODE_36524_length_242695_cov_8.876219
I65V	54428	NODE_32909_length_54479_cov_8.561978
I65V	180190	NODE_52363_length_180849_cov_8.916842
I65V	171356	NODE_46702_length_172443_cov_8.800276
I65V	226404	NODE_26054_length_227340_cov_8.973977
I65V	76254	NODE_34131_length_76410_cov_8.773904
I65V	74805	NODE_6631_length_74745_cov_9.030598
I65V	159516	NODE_22666_length_160012_cov_8.928786
I65V	78742	NODE_15263_length_79321_cov_8.858587
I65V	421075	NODE_45483_length_422896_cov_9.052862
I65V	223203	NODE_68572_length_224311_cov_8.874656
I65V	46981	NODE_25017_length_47047_cov_8.962166
I65V	130638	NODE_46206_length_131168_cov_8.970504
I65V	62297	NODE_46638_length_62394_cov_9.065310
I65V	43246	NODE_25791_length_43293_cov_9.069342
I65V	231246	NODE_45068_length_232243_cov_8.842613
I65V	242522	NODE_8697_length_243550_cov_8.761930
I65V	18299	NODE_10124_length_18182_cov_9.311956
I65V	129777	NODE_50573_length_130132_cov_8.922564
I65V	39017	NODE_37652_length_39203_cov_8.766523
I65V	242420	NODE_53498_length_243692_cov_8.773341
I65V	135197	NODE_4266_length_135371_cov_9.410893
I65V	36487	NODE_38156_length_36643_cov_9.198974
I65V	231563	NODE_8825_length_232606_cov_9.086984
I65V	37736	NODE_14757_length_37768_cov_8.761306
I65V	228546	NODE_46108_length_229160_cov_8.892294
I65V	274844	NODE_7159_length_276187_cov_8.928773
I65V	24348	NODE_71497_length_24292_cov_9.574840
I65V	484550	NODE_8549_length_485432_cov_8.981486
I65V	75238	NODE_16309_length_75370_cov_9.086719
I65V	87884	NODE_18627_length_87868_cov_9.147380
I65V	9181	NODE_15737_length_9135_cov_8.044991
I65V	186876	NODE_38077_length_187155_cov_8.679822
I65V	66413	NODE_28749_length_66413_cov_9.084607
I65V	163686	NODE_59381_length_164307_cov_8.955449
I65V	146876	NODE_20541_length_147553_cov_8.354354
I65V	153702	NODE_7397_length_154135_cov_8.963279
I65V	53819	NODE_28226_length_53867_cov_8.828374
I65V	25502	NODE_27296_length_25494_cov_9.002549
I65V	313296	NODE_24650_length_314389_cov_8.874353
I65V	64918	NODE_45697_length_65046_cov_8.908895
I65V	180844	NODE_7565_length_182044_cov_8.786705
I65V	115896	NODE_27460_length_116612_cov_8.521722
I65V	342226	NODE_53458_length_343776_cov_8.937067
I65V	171328	NODE_67573_length_172235_cov_8.420914
I65V	79279	NODE_37570_length_79281_cov_8.907569
I65V	30524	NODE_58222_length_30625_cov_8.720262
I65V	62525	NODE_16081_length_62710_cov_8.812534
I65V	337155	NODE_84832_length_338079_cov_9.314877
I65V	3257	NODE_327_length_3153_cov_278.060883
I65V	825	NODE_841_length_721_cov_268.295410
I65V	34476	NODE_20700_length_34372_cov_8.954148
I65V	35658	NODE_4120_length_35691_cov_9.271609
I65V	59141	NODE_14078_length_59599_cov_8.619473
I65V	148925	NODE_25588_length_149126_cov_8.957747
I65V	87155	NODE_11936_length_87298_cov_8.904030
I65V	97256	NODE_29725_length_97501_cov_8.462877
I65V	108297	NODE_15251_length_108449_cov_8.634916
I65V	20448	NODE_13203_length_20249_cov_9.211616
I65V	54198	NODE_27580_length_54162_cov_8.674605
I65V	52631	NODE_42162_length_52852_cov_8.402180
I65V	41737	NODE_46806_length_41690_cov_9.471072
I65V	88259	NODE_37764_length_88325_cov_9.083397
I65V	81481	NODE_45606_length_81720_cov_8.645057
I65V	57518	NODE_23783_length_57790_cov_8.406541
I65V	104985	NODE_10583_length_105274_cov_8.778911
I65V	216453	NODE_7470_length_217346_cov_8.979613
I65V	134124	NODE_44676_length_134988_cov_8.745222
I65V	281115	NODE_44791_length_282347_cov_8.733140
I65V	111065	NODE_7821_length_111187_cov_9.021667
I65V	227302	NODE_21188_length_228105_cov_8.841573
I65V	247998	NODE_27386_length_248649_cov_9.067589
I65V	22418	NODE_37595_length_22321_cov_8.712782
I65V	123621	NODE_3663_length_123684_cov_8.956511
I65V	72929	NODE_25398_length_72810_cov_8.966159
I65V	147698	NODE_37731_length_147832_cov_9.269834
I65V	181823	NODE_28538_length_182415_cov_8.633719
I65V	106229	NODE_52857_length_106304_cov_8.848322
I65V	64550	NODE_45875_length_64513_cov_9.183777
I65V	52135	NODE_29390_length_52125_cov_9.109564
I65V	49522	NODE_25166_length_49857_cov_9.001765
I65V	219417	NODE_31595_length_220183_cov_9.362617
I65V	78733	NODE_38125_length_78876_cov_9.166172
I65V	26847	NODE_27270_length_26693_cov_8.778856
I65V	61302	NODE_37445_length_61334_cov_8.826442
I65V	68195	NODE_45924_length_68315_cov_8.828939
I65V	86365	NODE_27031_length_86602_cov_9.417727
I65V	88097	NODE_1111_length_88324_cov_8.975657
I65V	109663	NODE_26574_length_109634_cov_9.593520
I65V	9006	NODE_974_length_8902_cov_8.258930
I65V	191895	NODE_19243_length_193125_cov_8.662390
I65V	97035	NODE_14958_length_97404_cov_9.047637
I65V	52040	NODE_34295_length_52098_cov_9.012764
I65V	22344	NODE_27265_length_22400_cov_8.382143
I65V	199611	NODE_27131_length_200456_cov_8.747191
I65V	133491	NODE_28178_length_133857_cov_9.356507
I65V	101353	NODE_38012_length_101704_cov_8.984091
I65V	11722	NODE_12078_length_11601_cov_8.658047
I65V	122321	NODE_13905_length_123096_cov_8.759684
I65V	348271	NODE_46791_length_349468_cov_8.817051
I65V	37208	NODE_14782_length_37425_cov_8.613814
I65V	39290	NODE_27368_length_39451_cov_9.568782
I65V	131314	NODE_38452_length_131810_cov_8.880062
I65V	29862	NODE_34659_length_29965_cov_8.767562
I65V	157635	NODE_36617_length_158096_cov_8.887321
I65V	165850	NODE_52401_length_166387_cov_8.808633
I65V	75612	NODE_27122_length_75953_cov_8.671731
I65V	61239	NODE_37993_length_61476_cov_8.932364
I65V	14646	NODE_3092_length_14622_cov_8.125565
I65V	480755	NODE_37496_length_482622_cov_8.884218
I65V	12421	NODE_25392_length_12302_cov_8.247358
I65V	123806	NODE_28232_length_124065_cov_9.016145
I65V	54523	NODE_23195_length_54515_cov_9.018289
I65V	53315	NODE_44894_length_53633_cov_8.940932
I65V	149502	NODE_57977_length_150018_cov_9.117693
I65V	107225	NODE_36163_length_107857_cov_8.779004
I65V	93487	NODE_53520_length_93834_cov_8.703317
I65V	52606	NODE_14708_length_52775_cov_8.386945
I65V	37711	NODE_61209_length_37705_cov_9.650285
I65V	50189	NODE_16346_length_50331_cov_9.374878
I65V	52247	NODE_1598_length_52360_cov_9.331493
I65V	46515	NODE_15976_length_46833_cov_8.873957
I65V	73872	NODE_15356_length_73887_cov_9.678672
I65V	99981	NODE_60703_length_100407_cov_9.107901
I65V	32621	NODE_27968_length_32741_cov_9.184784
I65V	141925	NODE_44833_length_142500_cov_8.960161
I65V	37839	NODE_15388_length_37775_cov_8.207836
I65V	21607	NODE_14882_length_21616_cov_8.713916
I65V	212603	NODE_15525_length_213385_cov_8.679265
I65V	131972	NODE_34719_length_132300_cov_10.035367
I65V	12678	NODE_36256_length_12613_cov_8.867597
I65V	422967	NODE_56415_length_424260_cov_9.101857
I65V	176180	NODE_28152_length_176512_cov_8.893480
I65V	90149	NODE_71526_length_90271_cov_8.598598
I65V	36271	NODE_8261_length_36260_cov_8.657529
I65V	14859	NODE_37717_length_14877_cov_9.021779
I65V	21395	NODE_12784_length_21351_cov_8.384197
I65V	132291	NODE_47478_length_132739_cov_9.187481
I65V	135097	NODE_30454_length_135331_cov_8.997347
I65V	127429	NODE_25992_length_127936_cov_8.602302
I65V	94496	NODE_46585_length_94560_cov_9.068697
I65V	58015	NODE_35330_length_58012_cov_8.523891
I65V	176136	NODE_16205_length_176525_cov_8.864744
I65V	62906	NODE_23710_length_62928_cov_8.935260
I65V	138733	NODE_23100_length_139223_cov_8.757770
I65V	24725	NODE_16143_length_24760_cov_8.683845
I65V	186167	NODE_21966_length_186980_cov_8.830212
I65V	23424	NODE_32861_length_23438_cov_8.917869
I65V	43331	NODE_36612_length_43511_cov_8.743306
I65V	36912	NODE_14854_length_36985_cov_8.517696
I65V	232664	NODE_44220_length_233222_cov_8.856261
I65V	84787	NODE_22632_length_84829_cov_8.961723
I65V	39745	NODE_69556_length_39801_cov_9.377704
I65V	32834	NODE_43657_length_33103_cov_8.582788
I65V	162783	NODE_26775_length_163363_cov_8.970648
I65V	50119	NODE_13340_length_50244_cov_8.874174
I65V	157544	NODE_14816_length_157937_cov_8.973730
I65V	92331	NODE_22628_length_92486_cov_8.739442
I65V	23648	NODE_64173_length_23698_cov_7.872352
I65V	132739	NODE_15250_length_132982_cov_8.957731
I65V	58531	NODE_36744_length_58660_cov_9.187265
I65V	271149	NODE_18186_length_272043_cov_8.846715
I65V	22471	NODE_20250_length_22331_cov_9.405445
I65V	187248	NODE_11894_length_187946_cov_8.937407
I65V	70281	NODE_20117_length_70627_cov_9.043510
I65V	128300	NODE_30685_length_128889_cov_8.734586
I65V	10628	NODE_13779_length_10524_cov_8.913246
I65V	174964	NODE_8720_length_175291_cov_9.449955
I65V	178390	NODE_69996_length_179198_cov_9.296432
I65V	24976	NODE_28763_length_24861_cov_9.043160
I65V	134403	NODE_11188_length_134524_cov_9.109981
I65V	143555	NODE_3180_length_143518_cov_10.018653
I65V	52467	NODE_59127_length_52344_cov_8.695170
I65V	84619	NODE_28711_length_84729_cov_9.365541
I65V	180336	NODE_18975_length_181152_cov_8.836193
I65V	88147	NODE_27889_length_88633_cov_8.532724
I65V	39823	NODE_28770_length_39793_cov_9.039479
I65V	162533	NODE_43688_length_163305_cov_8.978390
I65V	123880	NODE_5866_length_124554_cov_8.783074
I65V	61697	NODE_74426_length_61890_cov_9.177670
I65V	59678	NODE_5157_length_59607_cov_9.141141
I65V	156424	NODE_35949_length_157094_cov_8.740614
I65V	402196	NODE_43420_length_403655_cov_8.933785
I65V	61824	NODE_37133_length_62017_cov_9.193205
I65V	10815	NODE_13065_length_10782_cov_8.658134
I65V	52694	NODE_2996_length_52672_cov_8.617500
I65V	33580	NODE_32279_length_33449_cov_8.506204
I65V	109602	NODE_28398_length_109775_cov_8.851633
I65V	18578	NODE_15901_length_18554_cov_8.775035
I65V	43159	NODE_15033_length_43201_cov_8.780977
I65V	19165	NODE_1155_length_19136_cov_8.793583
I65V	94262	NODE_15001_length_94393_cov_9.129956
I65V	20143	NODE_27949_length_20082_cov_9.569814
I65V	17856	NODE_27585_length_17856_cov_9.659890
I65V	85280	NODE_38955_length_85350_cov_8.833181
I65V	32759	NODE_34120_length_32672_cov_8.778648
I65V	257819	NODE_69807_length_258739_cov_8.723644
I65V	38835	NODE_63762_length_38815_cov_9.040989
I65V	87832	NODE_53734_length_88011_cov_8.498381
I65V	200631	NODE_71364_length_201450_cov_8.755180
I65V	442527	NODE_3774_length_444023_cov_8.797051
I65V	41393	NODE_22573_length_41425_cov_9.083307
I65V	237979	NODE_16150_length_238828_cov_8.739017
I65V	99508	NODE_34171_length_99983_cov_8.750157
I65V	23402	NODE_44618_length_23594_cov_8.071374
I65V	6077	NODE_34960_length_5973_cov_8.442492
I65V	53700	NODE_51788_length_53976_cov_8.549818
I65V	150967	NODE_845_length_151055_cov_8.927358
I65V	52848	NODE_2680_length_53025_cov_8.193041
I65V	137397	NODE_17783_length_137780_cov_8.740049
I65V	211706	NODE_3100_length_212450_cov_8.814554
I65V	92334	NODE_1493_length_92764_cov_8.765102
I65V	91848	NODE_15128_length_92085_cov_8.880762
I65V	75330	NODE_53589_length_75563_cov_9.284492
I65V	123145	NODE_49340_length_123663_cov_8.630124
I65V	53274	NODE_15233_length_53276_cov_8.828234
I65V	62898	NODE_28410_length_62860_cov_9.046229
I65V	67468	NODE_44390_length_67747_cov_9.180923
I65V	72393	NODE_22146_length_72761_cov_8.240514
I65V	66916	NODE_35993_length_66946_cov_8.701849
I65V	134488	NODE_3921_length_135313_cov_8.770916
I65V	190857	NODE_30449_length_191686_cov_9.008222
I65V	43380	NODE_1889_length_43338_cov_8.693018
I65V	83649	NODE_43495_length_83667_cov_8.920183
I65V	211113	NODE_1608_length_211747_cov_9.059042
I65V	619710	NODE_30708_length_621932_cov_9.101458
I65V	85931	NODE_53260_length_86195_cov_8.852068
I65V	70894	NODE_36264_length_71143_cov_8.699844
I65V	79686	NODE_24948_length_79944_cov_8.969767
I65V	63762	NODE_21469_length_63870_cov_9.087036
I65V	154388	NODE_69959_length_155135_cov_9.029568
I65V	168317	NODE_28721_length_169202_cov_9.124301
I65V	52352	NODE_59477_length_52401_cov_8.607832
I65V	60028	NODE_26814_length_60203_cov_8.497085
I65V	88032	NODE_38353_length_88199_cov_8.616118
I65V	257568	NODE_14346_length_258246_cov_9.398194
I65V	315330	NODE_4686_length_315988_cov_9.023295
I65V	32701	NODE_16124_length_32776_cov_8.561661
I65V	234896	NODE_24963_length_235698_cov_9.097646
I65V	62865	NODE_29298_length_62831_cov_9.201715
I65V	133034	NODE_31199_length_133259_cov_9.151585
I65V	51416	NODE_9777_length_51622_cov_8.941052
I65V	269783	NODE_36156_length_270429_cov_9.326488
I65V	98128	NODE_800_length_98354_cov_9.352360
I65V	89589	NODE_32052_length_89825_cov_8.778447
I65V	20110	NODE_2798_length_20006_cov_9.358393
MNH120	5847	scaffold_217
MNH120	417158	scaffold_983
MNH120	9883	scaffold_554
MNH120	8606	scaffold_10
MNH120	33741	scaffold_158
MNH120	9881	scaffold_12
MNH120	3041	scaffold_51
MNH120	49344	scaffold_424
MNH120	93505	scaffold_667
MNH120	11818	scaffold_845
MNH120	154466	scaffold_858
MNH120	28265	scaffold_967
MNH120	51493	scaffold_791
MNH120	203292	scaffold_23
MNH120	92273	scaffold_56
MNH120	7313	scaffold_5
MNH120	62282	scaffold_208
MNH120	76053	scaffold_284
MNH120	62425	scaffold_942
MNH120	14518	scaffold_614
MNH120	70370	scaffold_111
MNH120	25580	scaffold_448
MNH120	8213	scaffold_607
MNH120	67673	scaffold_990
MNH120	442989	scaffold_445
MNH120	4895	scaffold_39
MNH120	410090	scaffold_298
MNH120	17034	scaffold_649
MNH120	196965	scaffold_504
MNH120	24499	scaffold_244
MNH120	130688	scaffold_118
MNH120	188005	scaffold_888
MNH120	119348	scaffold_123
MNH120	102141	scaffold_929
MNH120	107704	scaffold_970
MNH120	8112	scaffold_553
MNH120	12671	scaffold_526
MNH120	19414	scaffold_665
MNH120	56035	scaffold_587
MNH120	131860	scaffold_636
MNH120	24967	scaffold_591
MNH120	260864	scaffold_994
MNH120	210267	scaffold_310
MNH120	12714	scaffold_14
MNH120	350400	scaffold_911
MNH120	16345	scaffold_156
MNH120	92973	scaffold_719
MNH120	10654	scaffold_490
MNH120	15453	scaffold_868
MNH120	348434	scaffold_917
MNH120	84435	scaffold_358
MNH120	194911	scaffold_902
MNH120	62772	scaffold_94
MNH120	9746	scaffold_650
MNH120	73708	scaffold_869
MNH120	3508	scaffold_487
MNH120	2966	scaffold_95
MNH120	111975	scaffold_321
MNH120	101700	scaffold_912
MNH120	98626	scaffold_986
MNH120	5241	scaffold_43
MNH120	133061	scaffold_433
MNH120	23164	scaffold_558
MNH120	16912	scaffold_883
MNH120	167980	scaffold_427
MNH120	26423	scaffold_437
MNH120	4427	scaffold_1
MNH120	310608	scaffold_699
MNH120	36061	scaffold_1001
MNH120	51211	scaffold_535
MNH120	186509	scaffold_203
MNH120	28321	scaffold_22
MNH120	6162	scaffold_24
MNH120	38775	scaffold_183
MNH120	75599	scaffold_635
MNH120	13777	scaffold_115
MNH120	43850	scaffold_163
MNH120	2801	scaffold_62
MNH120	115208	scaffold_299
MNH120	53752	scaffold_288
MNH120	154016	scaffold_647
MNH120	278727	scaffold_390
MNH120	35712	scaffold_399
MNH120	33605	scaffold_61
MNH120	94871	scaffold_536
MNH120	136425	scaffold_293
MNH120	150832	scaffold_435
MNH120	407427	scaffold_1005
MNH120	572428	scaffold_943
MNH120	123038	scaffold_104
MNH120	48967	scaffold_666
MNH120	216594	scaffold_737
MNH120	43815	scaffold_335
MNH120	75862	scaffold_695
MNH120	52956	scaffold_415
MNH120	13058	scaffold_425
MNH120	65488	scaffold_48
MNH120	106600	scaffold_726
MNH120	29279	scaffold_283
MNH120	77443	scaffold_18
MNH120	23337	scaffold_200
MNH120	58131	scaffold_93
MNH120	38468	scaffold_744
MNH120	24854	scaffold_176
MNH120	10103	scaffold_196
MNH120	7676	scaffold_40
MNH120	641880	scaffold_945
MNH120	58184	scaffold_75
MNH120	149218	scaffold_416
MNH120	38352	scaffold_962
MNH120	27958	scaffold_866
MNH120	431288	scaffold_442
MNH120	15329	scaffold_225
MNH120	70911	scaffold_45
MNH120	62272	scaffold_957
MNH120	13054	scaffold_481
MNH120	195679	scaffold_997
MNH120	11452	scaffold_408
MNH120	169776	scaffold_932
MNH120	15656	scaffold_148
MNH120	33556	scaffold_732
MNH120	519608	scaffold_980
MNH120	117893	scaffold_319
MNH120	573180	scaffold_909
MNH120	17546	scaffold_496
MNH120	131687	scaffold_764
MNH120	185667	scaffold_811
MNH120	133015	scaffold_749
MNH120	350368	scaffold_1000
MNH120	113516	scaffold_84
MNH120	179740	scaffold_440
MNH120	94425	scaffold_585
MNH120	4899	scaffold_25
MNH120	253648	scaffold_1008
MNH120	141894	scaffold_996
MNH120	11499	scaffold_906
MNH120	814277	scaffold_839
MNH120	233760	scaffold_1011
MNH120	53433	scaffold_973
MNH120	81878	scaffold_837
MNH120	51492	scaffold_541
MNH120	18327	scaffold_260
MNH120	62849	scaffold_682
MNH120	10093	scaffold_89
MNH120	450877	scaffold_619
MNH120	111779	scaffold_709
MNH120	51127	scaffold_772
MNH120	407442	scaffold_879
MNH120	44939	scaffold_316
MNH120	20082	scaffold_672
MNH120	44873	scaffold_950
MNH120	6716	scaffold_26
MNH120	306411	scaffold_684
MNH120	353820	scaffold_379
MNH120	29317	scaffold_20
MNH120	66459	scaffold_671
MNH120	73114	scaffold_703
MNH120	20498	scaffold_579
MNH120	230094	scaffold_417
MNH120	37282	scaffold_843
MNH120	569913	scaffold_880
MNH120	91816	scaffold_114
MNH120	208871	scaffold_878
MNH120	216998	scaffold_234
MNH120	1140195	scaffold_961
MNH120	141356	scaffold_840
MNH120	23482	scaffold_69
MNH120	897625	scaffold_998
MNH120	320048	scaffold_802
MNH120	497935	scaffold_113
MNH120	66788	scaffold_509
MNH120	341477	scaffold_951
MNH120	167980	scaffold_834
MNH120	17300	scaffold_127
MNH120	26143	scaffold_766
MNH120	40451	scaffold_853
MNH120	119847	scaffold_326
MNH120	152546	scaffold_174
MNH120	155470	scaffold_947
MNH120	11896	scaffold_919
MNH120	42003	scaffold_169
MNH120	250678	scaffold_662
MNH120	5051	scaffold_809
MNH120	103520	scaffold_725
MNH120	39893	scaffold_110
MNH120	31124	scaffold_745
MNH120	79910	scaffold_339
MNH120	19923	scaffold_822
MNH120	78073	scaffold_568
MNH120	160294	scaffold_795
MNH120	661547	scaffold_901
MNH120	25630	scaffold_90
MNH120	377941	scaffold_447
MNH120	595422	scaffold_1007
MNH120	230777	scaffold_904
MNH120	372443	scaffold_595
MNH120	250414	scaffold_966
MNH120	154694	scaffold_515
MNH120	20248	scaffold_101
MNH120	102542	scaffold_964
MNH120	13167	scaffold_854
MNH120	143739	scaffold_556
MNH120	42768	scaffold_681
MNH120	36047	scaffold_514
MNH120	153968	scaffold_220
MNH120	5735	scaffold_216
MNH120	161138	scaffold_882
MNH120	25314	scaffold_38
MNH120	272805	scaffold_475
MNH120	40477	scaffold_620
MNH120	46978	scaffold_977
MNH120	100065	scaffold_608
MNH120	38120	scaffold_60
MNH120	456615	scaffold_918
MNH120	23058	scaffold_933
MNH120	35247	scaffold_64
MNH120	7165	scaffold_2
MNH120	16745	scaffold_17
MNH120	259079	scaffold_949
MNH120	398822	scaffold_149
MNH120	15762	scaffold_434
MNH120	38161	scaffold_78
MNH120	23090	scaffold_810
MNH120	11382	scaffold_518
MNH120	36089	scaffold_121
MNH120	308657	scaffold_900
MNH120	49630	scaffold_49
MNH120	63555	scaffold_209
MNH120	267530	scaffold_687
MNH120	94559	scaffold_820
MNH120	275599	scaffold_857
MNH120	17220	scaffold_428
MNH120	359596	scaffold_301
MNH120	29187	scaffold_627
MNH120	10091	scaffold_624
MNH120	198302	scaffold_4
MNH120	199652	scaffold_841
MNH120	112220	scaffold_407
MNH120	53446	scaffold_395
MNH120	11161	scaffold_589
MNH120	394770	scaffold_722
MNH120	2288	scaffold_327
MNH120	39140	scaffold_59
MNH120	7470	scaffold_300
MNH120	365127	scaffold_179
MNH120	656736	scaffold_180
MNH120	14129	scaffold_673
MNH120	73103	scaffold_894
MNH120	41225	scaffold_710
MNH120	121595	scaffold_32
MNH120	773014	scaffold_736
MNH120	115790	scaffold_146
MNH120	350154	scaffold_721
MNH120	26973	scaffold_714
MNH120	136059	scaffold_700
MNH120	59799	scaffold_362
MNH120	174910	scaffold_838
MNH120	90716	scaffold_748
MNH120	174416	scaffold_819
MNH120	22034	scaffold_908
MNH120	9106	scaffold_129
MNH120	606724	scaffold_521
MNH120	80923	scaffold_206
MNH120	129820	scaffold_480
MNH120	176534	scaffold_63
MNH120	29084	scaffold_87
MNH120	171833	scaffold_953
MNH120	3653	scaffold_47
MNH120	387810	scaffold_987
MNH120	10079	scaffold_99
MNH120	59040	scaffold_781
MNH120	104528	scaffold_887
MNH120	121934	scaffold_67
MNH120	34672	scaffold_232
MNH120	279976	scaffold_44
MNH120	464296	scaffold_83
MNH120	149820	scaffold_916
MNH120	125299	scaffold_974
MNH120	253777	scaffold_991
MNH120	7077	scaffold_757
MNH120	46779	scaffold_566
MNH120	564464	scaffold_931
MNH120	61287	scaffold_972
MNH120	27217	scaffold_198
MNH120	4828	scaffold_246
MNH120	16113	scaffold_715
MNH120	227932	scaffold_92
MNH120	34987	scaffold_178
MNH120	656374	scaffold_978
MNH120	202197	scaffold_842
MNH120	161960	scaffold_349
MNH120	35047	scaffold_728
MNH120	764890	scaffold_936
MNH120	55551	scaffold_116
MNH120	56322	scaffold_242
MNH120	13863	scaffold_775
MNH120	54984	scaffold_122
MNH120	21499	scaffold_155
MNH120	15755	scaffold_599
MNH120	220071	scaffold_914
MNH120	320198	scaffold_948
MNH120	141366	scaffold_41
MNH120	17858	scaffold_971
MNH120	116820	scaffold_877
MNH120	113391	scaffold_276
MNH120	37036	scaffold_876
MNH120	128505	scaffold_907
MNH120	6584	scaffold_57
MNH120	125213	scaffold_1002
MNH120	53719	scaffold_500
MNH120	254040	scaffold_944
MNH120	10905	scaffold_818
MNH120	57862	scaffold_999
MNH120	29727	scaffold_150
MNH120	385108	scaffold_241
MNH120	135994	scaffold_100
MNH120	297889	scaffold_739
MNH120	13350	scaffold_450
MNH120	192025	scaffold_981
MNH120	179301	scaffold_344
MNH120	184126	scaffold_956
MNH120	3310	scaffold_6
MNH120	468485	scaffold_1012
MNH120	64587	scaffold_787
MNH120	115260	scaffold_706
MNH120	34323	scaffold_88
MNH120	93395	scaffold_897
MNH120	19015	scaffold_921
MNH120	21731	scaffold_959
MNH120	5329	scaffold_58
MNH120	14366	scaffold_252
MNH120	8817	scaffold_54
MNH120	74765	scaffold_985
MNH120	22890	scaffold_37
MNH120	61827	scaffold_864
MNH120	32986	scaffold_790
MNH120	69762	scaffold_821
MNH120	568465	scaffold_779
MNH120	15892	scaffold_603
MNH120	25317	scaffold_995
MNH120	103197	scaffold_893
MNH120	124561	scaffold_1006
MNH120	170486	scaffold_677
MNH120	951742	scaffold_580
I37A	241027	NODE_22253_length_242229_cov_11.889588
I37A	26408	NODE_17166_length_26486_cov_11.527297
I37A	483205	NODE_19482_length_484342_cov_11.332376
I37A	94358	NODE_13831_length_94514_cov_11.469804
I37A	556870	NODE_22262_length_558980_cov_11.244125
I37A	125859	NODE_7689_length_125862_cov_11.367053
I37A	739812	NODE_14753_length_742385_cov_11.348880
I37A	342236	NODE_22895_length_344429_cov_11.656080
I37A	190337	NODE_8142_length_190929_cov_11.112288
I37A	916368	NODE_19334_length_919366_cov_11.328650
I37A	325641	NODE_2971_length_327000_cov_11.417058
I37A	246459	NODE_9972_length_247241_cov_11.539203
I37A	165458	NODE_13991_length_166218_cov_11.277834
I37A	453123	NODE_21877_length_454384_cov_11.367423
I37A	63574	NODE_10131_length_63990_cov_11.214674
I37A	61310	NODE_1301_length_61334_cov_10.663254
I37A	278724	NODE_23066_length_280045_cov_11.273952
I37A	39823	NODE_5505_length_39995_cov_10.909214
I37A	226700	NODE_14485_length_227174_cov_11.196445
I37A	843	NODE_628_length_721_cov_440.764221
I37A	238435	NODE_8194_length_238914_cov_11.432737
I37A	225601	NODE_18348_length_225797_cov_11.278383
I37A	49084	NODE_8600_length_49089_cov_11.411070
I37A	75619	NODE_3024_length_75755_cov_11.333562
I37A	158953	NODE_2966_length_159688_cov_10.950303
I37A	231137	NODE_22496_length_232008_cov_11.578057
I37A	185540	NODE_8394_length_186115_cov_10.979292
I37A	199662	NODE_11000_length_200932_cov_10.897607
I37A	244838	NODE_19032_length_245899_cov_10.784163
I37A	233416	NODE_20882_length_234023_cov_11.132551
I37A	65818	NODE_19375_length_65998_cov_11.542577
I37A	27084	NODE_6296_length_27143_cov_11.387945
I37A	143314	NODE_15701_length_144286_cov_11.580313
I37A	57060	NODE_5689_length_57307_cov_10.805923
I37A	122238	NODE_3280_length_122531_cov_11.970130
I37A	297266	NODE_8493_length_297924_cov_11.454421
I37A	320687	NODE_17785_length_320911_cov_12.064756
I37A	155043	NODE_4482_length_155798_cov_11.486348
I37A	217957	NODE_18137_length_219012_cov_11.191666
I37A	268472	NODE_8625_length_269706_cov_11.347397
I37A	200506	NODE_8050_length_201100_cov_11.522292
I37A	67680	NODE_9026_length_67826_cov_11.543936
I37A	88158	NODE_1987_length_88318_cov_10.773784
I37A	141892	NODE_4634_length_142225_cov_12.073841
I37A	110851	NODE_10460_length_111189_cov_11.197438
I37A	32995	NODE_3709_length_32873_cov_11.875308
I37A	195690	NODE_14056_length_196734_cov_11.322181
I37A	291997	NODE_14325_length_293052_cov_11.448866
I37A	162119	NODE_9829_length_162791_cov_11.459890
I37A	144439	NODE_12349_length_144996_cov_11.352520
I37A	252136	NODE_12269_length_253027_cov_11.184929
I37A	470746	NODE_13376_length_472813_cov_11.118514
I37A	280327	NODE_8161_length_281730_cov_10.961452
I37A	77453	NODE_14688_length_77817_cov_11.380174
I37A	14529	NODE_852_length_14446_cov_11.728922
I37A	103563	NODE_4298_length_103511_cov_11.244148
I37A	313195	NODE_4328_length_314400_cov_11.606899
I37A	142871	NODE_11331_length_143127_cov_11.389989
I37A	281649	NODE_22264_length_282821_cov_11.279247
I37A	336230	NODE_8399_length_337373_cov_11.507616
I37A	201922	NODE_13703_length_202771_cov_11.726164
I37A	201584	NODE_8635_length_201990_cov_12.573761
I37A	96962	NODE_19454_length_97412_cov_10.842853
I37A	583018	NODE_11779_length_585108_cov_11.625489
I37A	43077	NODE_7118_length_43106_cov_10.851134
